NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Akademi Seni Budaya dan Warisan Kebangsaan (ASWARA),3.153117,101.688793,Akademi Seni Budaya dan Warisan Kebangsaan,"Akademi Seni Budaya Dan Warisan Kebangsaan 464 Jalan Tun Ismail, 50480 Kuala Lumpur",0326971777,0326975452,info@aswara.edu.my,http://www.aswara.edu.my,http://www.facebook.com/aswara.edu,,http://twitter.com/#!/twitaswara,,,http://www.aswara.edu.my/suapan_rss,
Akedemi Kastam Diraja Malaysia (AKMAL),2.228793,102.278246,Akedemi Kastam Diraja Malaysia (AKMAL),"Akademi Kastam Diraja Malaysia Royal Malaysian Customs Academy Peti Surat 160, Bukit Baru, Hang Tuah Jaya, 75730 Melaka, Malaysia.",606-233 1100,606-231 7762,"",http://www.akmal.gov.my/,,,,,,,
Bahagian Hal Ehwal Penguatkuasaan Maritim Malaysia,2.967984,101.709788,Bahagian Hal Ehwal Penguatkuasaan Maritim Malaysia,"Aras 12, One IOI Square, IOI Resort, 62502 Putrajaya.",603-8995 7100,603-8943 4241,-,http://bhepmm.mmea.gov.my/,,,,,,,
Bahagian Hal Ehwal Undang-Undang,2.917682,101.682184,Bahagian Hal Ehwal Undang-Undang,"Aras 4-8, Bangunan Hal Ehwal Undang-Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan 62692 Putrajaya",603-8885 1000,603-8885 1048; 8885 1051,webmaster@bheuu.gov.my,http://www.bheuu.gov.my/,,,,,,,
Bahagian Istiadat dan Protokol Sabah,6.017269499999999,116.1097598,Bahagian Istiadat dan Protokol Sabah,"Tingkat 10 Menara Tun Mustapha 88502 kota Kinabalu Sabah, Malaysia",088-422600,088-421532,Norhita.AbdWahid@sabah.gov.my,http://www.sabah.gov.my/,,,,,,,
Bahagian Istiadat dan Urusetia Antarabangsa,2.936719,101.696609,Bahagian Istiadat dan Urusetia Persidangan Antarabangsa,"Jabatan Perdana Menteri Aras 5-6,Blok B3, Pusat Pentadbiran Kerajaan Persekutuan 62502,PUTRAJAYA MALAYSIA.",0388881957,0388883471,-,http://www.istiadat.gov.my,,,,,,,
Bahagian Kerajaan Tempatan Negeri Kelantan,6.122013,102.25226700000007,Bahagian Kerajaan Tempatan Negeri Kelantan,"Bahagian Kerajaan Tempatan Pejabat Setiausaha Kerajaan Negeri Kelantan Aras Bawah, Blok 2, Kompleks Kota Darul Naim, 15503 Kota Bharu, Kelantan.",609-744 0477,609-747 3293,bhgkt@kelantan.gov.my,http://www.bhgkt.kelantan.gov.my/,,,,,,,
Bahagian Pengurusan Hartanah,2.937384,101.69627,Bahagian Pengurusan Hartanah,"Bahagian Pengurusan Hartanah, Aras 7,Blok B3, Pusat Pentadbiran Kerajaan Persekutuan, 62502 Putrajaya",603-8881 0708,603-8888 5439,bph_admin@bph.jpm.my,http://www.bph.gov.my/,,,,,,,
Bahagian Perkhidmatan Farmasi Kelantan,,,Bahagian Perkhidmatan Farmasi Kelantan,"Lot 125-128, Taman Maktab, Pengkalan Chepa, 16100, Kota Bharu, Kelantan.",09 - 773 0586,09 -773 0196,farmasiklt@moh.gov.my,http://farmasiklt.moh.gov.my,,,,,,,
Bahagian Perlindungan JPM,2.9671363,101.70967610000002,Bahagian Pelindungan JPM,"Karung Berkunci No.204 Pusat Pos Laju Bandar Baru Bangi Pos Malaysia Berhad No.24, Jalan P10/16 Taman Industri Selaman 43650 BANDAR BARU BANGI Selangor Darul Ehsan",03-8947 7800,03-8948 3323,info@ups.gov.my,http://www.ups.gov.my,,,,,,,
Bahagian Sains Kesihatan Bersekutu,2.944348,101.724898,Bahagian Sains Kesihatan Bersekutu,"Bahagian Sains Kesihatan Bersekutu Kementerian Kesihatan Malaysia Aras 2, Blok A, Bangunan Utama Chancery Place Jalan Diplomatik 2, Presint Diplomatik, Presint 15, 62050 Putrajaya",603-88901011,603-88901060,bskb@moh.gov.my,http://alliedhealth.moh.gov.my/,,,,,,,
Bahagian Teknologi Maklumat dan Komunikasi,,,"","Bahagian Pengurusan Maklumat,Aras 3 & 4, Blok E11,Kompleks Kerajaan Parcel E,Pusat Pentadbiran Kerajaan Persekutuan,",03-88843500,03-88895244,"",http://www.sprm.gov.my/,,,,,,,
Baitulmal Negeri Perlis,6.472245,100.232162,Baitumal Negeri Perlis,"Aras Bawah Kompleks Islam Perlis 01000 Kangar, Perlis",604 - 979 4437,604 - 978 2400,korporat@maips.gov.my,http://maip.perlis.gov.my,,,,,,,
Bank Kerjasama Rakyat Malaysia Berhad,3.139003,101.686855,Bank Kerjasama Rakyat Malaysia Berhad,"Bangunan Bank Rakyat, Jalan Tangsi, Peti Surat 11024, 50732 Kuala Lumpur",03-26129600,03-2612 9655,webmaster@bankrakyat.com.my,http://www.bankrakyat.com.my/,https://www.facebook.com/myBANKRAKYAT,,https://twitter.com/myBankRakyat,,,http://www.bankrakyat.com.my/web/guest/home/-/journal/rss/10124/694713,
Bank Negara Malaysia,3.152046,101.692505,Bank Negara Malaysia,Bank Negara Malaysia Jalan Dato' Onn P.O. Box 10922 50929 Kuala Lumpur,603-2698 8044,603-2691 2990,bnmtelelink@ bnm.gov.my,http://www.bnm.gov.my/,,,,,,,
Bank Pembangunan Malaysia Berhad,3.159871,101.701434,Bank Pembangunan Malaysia Berhad,"Menara Bank Pembangunan Bandar Wawasan N0 1016, Jalan Sultan Ismail 50250 Kuala Lumpur",0326113888,0326985701,"",http://www.bpmb.com.my,,,,,,,
Bank Pertanian Malaysia Berhad (Agrobank),3.146868,101.694598,Bank Pertanian Malaysia Berhad (Agrobank),Bank Pertanian Malaysia Berhad (Agrobank) Leboh Pasar Besar Peti Surat 10815 50726 Kuala Lumpur,603-2731 1600,603-2691 4908,customer@agrobank.com.my,http://www.agrobank.com.my/home,,,,,,,
Bank Perusahaan Kecil dan Sederhana (SME Bank),3.158519,101.701072,Bank Perusahaan Kecil dan Sederhana (SME Bank),"Small Medium Enterprise Development Bank Malaysia Berhad 49572-H Menara SME Bank. Jalan Sultan Ismail, 50250 Kuala Lumpur",603 2615 2020,603 2698 1748,smebank.com.my; muhammad.afif@smebank.com.my;,http://www.smebank.com.my/,www.facebook.com/smebank,,http://twitter.com/SME_Bank,,,,http://youtube.com/user/smebankmalaysia
Bank Simpanan Nasional,3.1594086,101.7116273,"","Wisma BSN, 117, Jalan Ampang, 50450 Kuala Lumpur.",1300 88 1900,03-2613 1888,servicemanager@bsn.com.my,http://www.mybsn.com.my/index.xhtml,,,,,,,
Biro Pengaduan Awam (BPA),2.926361,101.69644500000004,Biro Pengaduan Awam(BPA),"Prime Minister’s Department, Level 6,Block B1, Federal Government Administrative Centre, 62502 Putrajaya",03-8000 8000,03-8888 3748/7778,aduan@bpa.jpm.my,http://www.pcb.gov.my/,,,,,,,
Biro Pengaduan Awam Negeri Sabah,5.976851,116.115768,Biro Pengaduan Awam Negeri Sabah,"Biro Pengaduan Awam, Jabatan Ketua Menteri, Blok B, Tingkat 3, Beg Berkunci No. 26, 88992 Kota Kinabalu, Sabah",088-218731,088-261015,bpa@sabah.gov.my,http://www.aduan.sabah.gov.my,,,,,,,
Biro Pengawalan Farmaseutikal Kebangsaan,3.117717,101.639108,Biro Pengawalan Farmaseutikal Kebangsaan,"Lot 36, Jalan Universiti, 46200 Petaling Jaya, Selangor, Malaysia.",603-7883 5400,603-7956 2924,"",http://portal.bpfk.gov.my,,,,,,,
Biro Tatanegara,2.937684,101.696055,Biro Tatanegara,"Aras 1, Blok B3, Kompleks Jabatan Perdana Menteri Pusat Pentadbiran Kerajaan Persekutuan 62502 PUTRAJAYA, MALAYSIA",603-8872 4600,603-8888 3458,webmaster_btn@btn.gov.my,http://www.btn.gov.my/,,,,,,,
Biro Wanita Sarawak,1.585896,110.33148600000004,Biro Wanita Sarawak,"Biro Wanita, Kementerian Kebajikan, Wanita Dan Pembangunan Keluarga Sarawak Wisma Wanita, Jalan Bakti, Off Jalan Sultan Tengah, Semariang, 93050 Kuching, Sarawak.",6082 - 446 980,6082 - 447 937,webmaster@birowanita.sarawak.gov.my,http://www.birowanita.sarawak.gov.my/,,,,,,,
Bursa Malaysia Berhad,3.148326,101.701327,Bursa Malaysia Berhad,"10th Floor, Exchange Square Bukit Kewangan, 50200 Kuala Lumpur.",0320265099,0320264122,customerservice@bursamalaysia.,http://www.bursamalaysia.com,,,,,,,
Dewan Bahasa dan Pustaka (DBP),3.134399,101.703474,Dewan Bahasa dan Pustaka (DBP),"Dewan Bahasa dan Pustaka, Jalan Dewan Bahasa , 50460 Kuala Lumpur.",03-2148 10,03-2144 72,webmaster@dbp.gov.my,http://www.dbp.gov.my/,http://www.facebook.com/pages/Dewan-Bahasa-dan-Pustaka-Malaysia/109573169113660?ref=mf,,http://twitter.com/DBPMalaysia,,,,
"Dewan Bandaraya Kota Kinabalu, Sabah (DBKK)",5.976474,116.11577699999998,"Dewan Bandaraya Kota Kinabalu, Sabah (DBKK)","Dewan Bandaraya Kota Kinabalu No 1,Jalan Perbandaran, 88675 Kota Kinabalu, Sabah",088-521 800,088-219 175 / 233 815,valuation@dbkk.sabah.gov.my,http://www.dbkk.sabah.gov.my/,,,,,,,
Dewan Bandaraya Kuala Lumpur (DBKL),3.152458,101.694133,Dewan Bandaraya Kuala Lumpur (DBKL),"Menara DBKL 1, Jalan Raja Laut, 50350 Kuala Lumpur, Malaysia",0326179000,0326980460,dbkl@dbkl.gov.my,http://www.dbkl.gov.my/,http://www.facebook.com/dewanbandarayakualalumpur,,,,http://www.flickr.com/photos/klcityhall,http://www.dbkl.gov.my/v6/index.php?option=com_ninjarsssyndicator&feed_id=1&format=raw&lang=bm,http://www.youtube.com/klcityhall
Dewan Bandaraya Kuching Utara,1.585896,110.33148600000004,Majlis Dewan Bandaraya Kuching Utara,"Bukit Siol, Jalan Semariang Petra Jaya 93050 KUCHING SARAWAK",6082 - 446688 / 6082,6082 - 447988,"",http://www.dbku.sarawak.gov.my,,,,,,,
Dewan Undangan Negeri Sabah,5.989523,116.10172,Dewan Undangan Negeri Sabah,"Aras 4, Bangunan Dewan Undangan Negeri Sabah, Teluk Likas, Peti Surat 11247, 88300 Kota Kinabalu, Sabah. Malaysia","088-424415, 424405","088-427333, 439769",-,http://www.sabah.gov.my/dun/dun1-30.htm,,,,,,,
Dewan Undangan Negeri Sarawak,1.569324,110.35010599999998,Dewan Undangan Negeri Sarawak,"Pejabat Setiausaha, Dewan Undangan Negeri Sarawak, Petra Jaya, 93502 Kuching Sarawak",6082-441 955,082-440 628,"",http://www.dun.sarawak.gov.my/,,,,,,,
Dewan Undangan Negeri Terengganu,5.3305973,103.1408983,Dewan Undangan Negeri Terengganu,"Setiausaha, Dewan Undangan Negeri Terengganu, Tingkat U2, Blok Podium, Wisma Darul Iman, 20503 Kuala Terengganu, Terengganu Darul Iman.",609 - 623 1957,609 - 623 6957,sudewan@terengganu.gov.my,http://dun.terengganu.gov.my/,,,,,,,
Eastern Sabah Security Command (ESSCOM),5.048846,118.35931389999996,Eastern Sabah Security Command (ESSCOM),"Ibu Pejabat ESSCOM, Pengkalan Polis Marin 91117 Lahad Datu Sabah",089 – 863 586 (P) / 089 – 863 580 / 089 – 863 581,089 – 863 588 / 089 – 863 590,mohammad.mentek@jpm.gov.my,"",,,,,,,
Galeri Seni Sabah,5.959536,116.07271600000001,Galeri Seni Sabah,"Sabah Art Gallery, Jalan Muzium, 88300 Kota Kinabalu, Sabah, Malaysia.","088 268798, 268806,",088 210040,gallery_9@msn.com,http://www.sabah.gov.my/artgallery/,,,,,,,
Galeri Sultan Azlan Shah,4.7666667,100.95000000000005,Galeri Sultan Azlan Shah,"Bukit Chandan , 33000 Kuala Kangsar, Perak Darul Ridzuan",605-777 5362,05-7774957,gsas@perak.gov.my,http://gsas.perak.gov.my/,,,,,,,
Hospital Alor Gajah,2.361896,102.180018,Hospital Alor Gajah,"Hospital Alor Gajah, Jalan Paya Datuk, Alor Gajah 78000 Melaka",06-5562333,06-5565354,hosag@mlk.moh.gov.my,http://hag.moh.gov.my,,,,,,,
Hospital Ampang,3.1282471,101.76413350000007,Hospital Ampang,"Jalan Mewah Utara, Pandan Mewah, 68000 Ampang, Selangor Darul Ehsan.",03-4289 6000,03-4295 4666,webmasterhampang@sel.moh.gov.my,http://hampg.moh.gov.my/v3/,,,,,,,
Hospital Bahagia Ulu Kinta,4.672631,101.15653900000007,Hospital Bahagia Ulu Kinta,"Hospital Bahagia Ulu Kinta, 31250 Tanjung Rambutan, Perak Darul Ridzuan",05-5332333-7,05-5331350,hbuk@moh.gov.my,http://hbuk.moh.gov.my/v2/,,,,,,,
Hospital Balik Pulau,5.350421499999999,100.23353739999993,Hospital Balik Pulau,"Hospital Balik Pulau, Pekan Balik Pulau, 11000 Balik Pulau, Penang, Malaysia",04-8669333,04-8666058,hbp@ppg.moh.gov.my,http://hbpulau.moh.gov.my/v2/,,,,,,,
Hospital Baling,5.678852,100.92515100000003,Hospital Baling,"Jalan Hospital, 09100 Baling, Kedah Darul Aman.",04 - 470 1333,04 - 470 1160,hbaling@moh.gov.my,http://hbaling.moh.gov.my,,,,,,,
Hospital Banting,2.805156,101.493838,Hospital Banting,"Hospital Banting, Jalan Sultan Alam Shah, 42700 Banting, Selangor",03-3187-1333,03-3181-8834,hbanting@moh.gov.my,http://hbanting.moh.gov.my,,,,,,,
Hospital Batu Gajah,4.4792811,101.03414989999999,Hospital Batu Gajah,Jalan Changkat 31000 Batu Gajah Perak,05-366 3333,05-366 3851,hbgjh@prk.moh.gov.my,http://hbgjh.moh.gov.my,,,,,,,
Hospital Beaufort,5.3511029,115.73836610000001,Hospital Beaufort,Peti Surat 40 89807 Beaufort Sabah,087 - 212333,087 - 211725,pengarah.beaufort@sbh.moh.gov.my,http://hbeaufort.moh.gov.my/v3/,,,,,,,
Hospital Bentong,3.553475,101.928253,Hospital Bentong,Jalan Tras 28700 Bentong Pahang Darul Makmur,09-2223333,09-2224494,hspben@phg.moh.gov.my,http://hspben.moh.gov.my/,,,,,,,
Hospital Besut,5.729693999999999,102.49199799999997,Hospital Besut,Hospital Besut 22000 Jerteh Terengganu Darul Iman,09-6971200,09-6972762,tanya_hosbes@trg.moh.gov.my,http://hbesut.moh.gov.my/v3/,,,,,,,
Hospital Bintulu,3.229299,113.10029899999995,Bintulu Hospital,"Jalan Nyabau, 97000 Bintulu, Sarawak.",6086-255 899,6086-255 866,hsp_bintulu@moh.gov.my,http://hbtu.moh.gov.my,,,,,,,
Hospital Bukit Mertajam,5.360034,100.46450200000004,Hospital Bukit Mertajam,"Jalan Kulim ,14000 Bukit Mertajam Seberang Perai Tengah Pulau Pinang",04-549 7333,04-549 7299,hospitalbm@moh.gov.my,http://hospbm.moh.gov.my,,,,,,,
Hospital Daro,2.504961,111.45053299999995,Hospital Daro,"Jalan Itol, 96200 Daro, Sarawak",084-823620,084-823624,hosp_daro@moh.gov.my,http://hdaro.moh.gov.my/,,,,,,,
Hospital Duchess of Kent,5.8581577,118.08484950000002,Hospital Duchess of Kent,KM3.2 Jalan Utara 90000 Sandakan Sabah,6089-212111,6089-213607,hdok@sbh.moh.gov.my,http://hdok.moh.gov.my/v6/index.php,,,,,,,
Hospital Dungun,,,"","Hospital Dungun,",609-8483333,609-8484160,zulmohd@trg.moh.gov.my,http://hcm.moh.gov.my,,,,,,,
Hospital Enche' Besar Hajjah Khalsom,2.038564,103.316059,Hospital Enche' Besar Hajjah Khalsom,Hospital Enche' Besar Hajjah Khalsom Km 5 Jalan Kota Tinggi 86000 Kluang Johor,07-778 7000,07-778 7128,hosp_kluang@moh.gov.my,http://hklg.moh.gov.my/,,,,,,,
Hospital Hulu Terengganu,5.073262,103.04531500000007,Hospital Hulu Terengganu,"BATU 23, JALAN KUALA BERANG, 21700 KUALA BERANG, TERENGGANU DARUL IMAN",09-6813333,09-6813099,hospitalhulutrg@hht2014.pixub.com,http://www.hht.gov.my/,,,,,,,
Hospital Jasin,2.303678,102.427417,Hospital Jasin,"Hospital Jasin, Jalan Utama, 77000 Jasin, Melaka",06-5294262,06-5295262,hjasin@mlk.moh.gov.my,http://hjasin.moh.gov.my,,,,,,,
Hospital Jelebu,2.950556,102.05897299999992,Hospital Jelebu,71600 Kuala Klawang Negeri Sembilan,606-6136252,606-6137531,"",http://hjelebu.moh.gov.my/,,,,,,,
Hospital Jerantut,3.929868,102.36067300000002,Hospital Jerantut,"Hospital Daerah Jerantut 27000, Bandar Jerantut Jerantut, Pahang Darul Makmur",609 - 266 3333/609 - 266 3334,609 -266 1462,hspjer@moh.gov.my,http://hjerantut.moh.gov.my,,,,,,,
Hospital Jitra,6.279044799999999,100.41893670000002,Hospital Jitra,"Jalan Changlun, 06000 Jitra Kedah",04-9174333,04-9176346,hjitra@moh.gov.my,http://hjitra.moh.gov.my,,,,,,,
Hospital Kajang,2.9928073,101.79327020000005,Hospital Kajang,"Jalan Semenyih, Kajang, 43000 Kajang, Selangor, Malaysia",603-87363333,603-87367527,helpdeskhkjg@moh.gov.my,http://hkjg.moh.gov.my/,,,,,,,
Hospital Kampar,4.311815,101.15648899999997,Hospital Kampar,Jalan Hospital 31900 Kampar,05-4653333,05-4665664,pengarah_hkampar@prk.moh.gov.my,http://hkampar.moh.gov.my/k3/,,,,,,,
Hospital Kanowit,2.101771,112.151522,Hospital Kanowit,"Jalan Kanowit / Durin, 96700 Kanowit, Sarawak, Malaysia",6084-752333,6084-752682,hosp_kanowit@srwk.moh.gov.my,http://hkanowit.moh.gov.my/v2/,,,,,,,
Hospital Kapit,2.0138652,112.94265569999993,Hospital Kapit,"Jalan Mamora 96800 Kapit, Sarawak, Malaysia",084-796333,084-796136,hsp_kpt@moh.gov.my,http://hkapit.moh.gov.my/v3/,,,,,,,
Hospital Kemaman,4.2316454,103.42079760000001,Hospital Kemaman,"Jalan Da' Omar, 24000 Chukai, Kemaman, Terengganu",09 - 851 3333,609 - 859 5512,"",http://hkemaman.moh.gov.my,,,,,,,
Hospital Keningau,5.2650197,116.32843170000001,Hospital Keningau,"Peti Surat 11, 89007 Keningau, Sabah",6087-313000,6087- 331595,pengarah.keningau@sbh.moh.gov.my,http://hkgu.moh.gov.my/ve3/index.php,,,,,,,
Hospital Kepala Batas,5.512766,100.43741599999998,Hospital Kepala Batas,"Jalan Bertam 2, 13100 Kepala Batas, Penang, Malaysia",604-5793333 / 5623333,604-5791088,hkbpp@ppg.moh.gov.my,http://hkbatas.moh.gov.my/v2/,,,,,,,
Hospital Kota Belud,6.362777899999999,116.47222099999999,Hospital Kota Belud,"Peti Surat 159, Kota Belud, 89158, Kota Belud, Sabah‎",6088-976333,6088-977942,pengarah.kotabelud@sbh.moh.gov.my,http://hkotabelud.moh.gov.my/,,,,,,,
Hospital Kota Marudu,6.484312099999999,116.7324572,Hospital Kota Marudu,"Peti Surat No.255, 89108 Kota Marudu Sabah.",088-661984/980/884,088-661967,hkmu@sbh.moh.gov.my,http://hkm.moh.gov.my/,,,,,,,
Hospital Kuala Kangsar,4.772829,100.93145200000004,Hospital Kuala Kangsar,"Jalan Sultan Idris Shah 1, 33300 Kuala Kangsar, Perak, Malaysia",605-7763333,605-7769660,hkkangsar@moh.gov.my,http://hkangsar.moh.gov.my/v2/,,,,,,,
Hospital Kuala Krai,5.535381,102.19913599999995,Hospital Kuala Krai,"Pekan Kuala Krai, 18000 Kuala Krai, Kelantan, Malaysia",609-9666333,609-9666076,-,http://hkrai.moh.gov.my/v2/,,,,,,,
Hospital Kuala Kubu Bharu,3.5648388,101.65296969999997,Hospital Kuala Kubu Bharu,"Jalan Hospital, Pekan Kuala Kubu Bharu, 44000 Kuala Kubu Bharu, Selangor, Malaysia",603-60641333,603-60643039,-,http://hkkb.moh.gov.my/v3/,,,,,,,
Hospital Kuala Lipis,4.183335,102.055025,Hospital Kuala Lipis,"27200 Kuala Lipis, Pahang, Malaysia",09-3123333,09-3121787,hsplip@phg.moh.gov.my,-,,,,,,,
Hospital Kuala Lumpur,3.17145,101.70182,Hospital Kuala Lumpur,50586 Jalan Pahang Wilayah Persekutuan Kuala Lumpur.,603-2615 5555,603-2698 9845,hkl@moh.gov.my,http://www.hkl.gov.my/,,,,,,,
Hospital Kuala Nerang,6.253698,100.60853700000007,Hospital Kuala Nerang,Hospital Kuala Nerang 06300 Kuala Nerang Kedah Darulaman,604-7867333,04-7867052,hknerang@kdh.moh.gov.my,http://hknerang.moh.gov.my,,,,,,,
Hospital Kuala Penyu,5.491423,115.549055,Hospital Kuala Penyu,"W.D.T No 35 89747 Kuala Penyu Sabah, Malaysia",6087-853100,6087-884212,hkp@moh.gov.my,http://hspkpyu.moh.gov.my,https://www.facebook.com/pages/Hospital-Kuala-Penyu-Sabah/1393175370930041,,https://twitter.com/hospkualapenyu,,https://www.flickr.com/photos/hospitalkualapenyu/,http://hspkpyu.moh.gov.my/modules/artikel/backend.php,http://www.youtube.com/user/hkpenyu
Hospital Kudat,6.8301362,116.72441479999998,Hospital Kudat,"Peti Surat No. 22 89057, Kudat, 89057, Kudat, Sabah",088-613333,088-611875,"",-,,,,,,,
Hospital Kulim,5.3866564,100.57751559999997,Hospital Kulim,"Jalan Mahang (Kulim Hi-Tech Park) 09000 Kulim, Kedah Darul Aman",04-427 2733,04-490 0760,"",http://hkulim.moh.gov.my,,,,,,,
Hospital Kunak,4.678072999999999,118.23133099999995,Hospital Kunak,"W.D.T 150, 91209 Kunak, Sabah.",6089894100,6089853285,icthknk@moh.gov.my,http://hknk.moh.gov.my/,,,,,,,
Hospital Labuan,5.311014999999999,115.22983199999999,Hospital Labuan,"Peti Surat 81006 87020 W.P Labuan, Malaysia",6087-596888,6087-423928,hosplbnweb@moh.gov.my,http://hlabuan.moh.gov.my,,,,,,,
Hospital Langkawi,6.324986000000001,99.798721,Hospital Langkawi,"Bukit Tekoh, Jalan Padang Mat Sirat 07000 Langkawi,Kedah Darul Aman.",604-9663333,604-9660121,hlangkawi@kdh.moh.gov.my,http://hlangkawi.moh.gov.my/v2/,,,,,,,
Hospital Limbang,4.726186,115.01415099999997,Hospital Limbang,"Jalan Pandaruan, 98700 Limbang Sarawak",085-211200,085-216462,hosp_limbang@moh.gov.my,http://hlimbang.moh.gov.my/,,,,,,,
Hospital Lundu,1.675291,109.85214300000007,Hospital Lundu,"Jalan Sekambal , 94500 Lundu Sarawak Malaysia",6082-735311,6082-735055,hosp_lundu@srwk.moh.gov.my,http://hlundu.moh.gov.my/,,,,,,,
Hospital Machang,5.763345999999999,102.22572100000002,Hospital Machang,"Jalan Pasir Puteh, Kampung Bukit Tiu, 18500 Machang, Kelantan, Malaysia",609-9752533,609-9752470,hosmac@klt.moh.gov.my,http://hmachang.moh.gov.my/v3/,,,,,,,
Hospital Melaka,2.217955,102.2616,Hospital Melaka,Jalan Mufti Haji Khalil 75400 Melaka,06-2892344,06-2841590,hmelaka@moh.gov.my,http://hmelaka.moh.gov.my,,,,,,,
Hospital Mersing,2.4295309,103.84517540000002,Hospital Mersing,"Jalan Ismail, Mersing Kechil, 86800 Mersing, Johor, Malaysia",07-7993333,07-7994200,hospmersing@johr.moh.gov.my,http://hmersing.moh.gov.my/,,,,,,,
Hospital Mesra Bukit Padang,5.950537,116.10533950000001,Hospital Mesra Bukit Padang,"Jalan Kolam, 91000 Kota Kinabalu, Sabah, Malaysia",6088-240984/85,6088-244703,-,http://hmbp.moh.gov.my/,,,,,,,
Hospital Miri,4.37448,113.997837,Hospital Miri,"Jalan Cahaya, 98000 Miri, Sarawak.",6085-420033,6085-416514,it.hm@moh.gov.my,http://hmiri.moh.gov.my/,,,,,,,
Hospital Pakar Sultanah Fatimah,2.071381,102.57808299999999,Hospital Pakar Sultanah Fatimah,"Hospital Pakar Sultanah Fatimah, Jln Salleh, 84000 Muar",06-952 1901 / 02,06-952 6003,hpsf_webmaster@johr.moh.gov.my,http://hpsf.moh.gov.my/,,,,,,,
