NAMA,ALAMAT1,ALAMAT2,ALAMAT3,ALAMAT4,TELEFON,FAKS
Hospital Mesra Bukit Padang,Peti Surat 11342,"Kota Kinabalu, Sabah",88815 Kota Kinabalu,Sabah,088-240984,088-244703
Hospital Miri,Jalan Cahaya,"Miri, Sarawak",98000 Miri,Sarawak,085-420033,085-416514
Hospital Muadzam Shah,26700 Muadzam Shah,"Rompin, Pahang",26700 Rompin,Pahang,09-4523333,09-4523055
Hospital Mukah,Jalan Haji Mohamed Pauzi,"Mukah, Sarawak",96400 Mukah,Sarawak,084-871333,084-872212
Hospital Orang Asli,"KM 24, Jalan Pahang Lama, 53100 Gombak, Selangor","",53100 Gombak,Selangor,Tel :,Fax :
Hospital Pakar Sultanah Fatimah,Jalan Salleh,"Muar, Johor",84000 Muar,Johor,06-9521901,06-9526003
Hospital Papar,"Peti Surat No. 6,","Papar, Sabah",89607 Papar,Sabah,088-913333,088-913587
Hospital Parit Buntar,Jalan Sempadan,"Parit Buntar, Perak",34200 Parit Buntar,Perak,05-7163333,05-7169675
Hospital Pasir Mas,Jalan Meranti,"Pasir Mas, Kelantan",17000 Pasir Mas,Kelantan,09-7932300,09-7900996
Hospital Pekan,26600 Pekan,"Pekan, Pahang",26600 Pekan,Pahang,09-4223333,09-4222280
Hospital Permai,Jalan Tampoi,"Johor Bahru, Johor",81200 Johor Bahru,Johor,07-2373333,07-2371396
Hospital Pitas,Peti Surat 88,"Pitas, Sabah",89100 Pitas,Sabah,088-676100,088-611203
Hospital Pontian,Jalan Alsagoff,"Pontian, Johor",82000 Pontian,Johor,07-6873333,07-6876211
Hospital Port Dickson,"KM 11, Jalan Pantai","Port Dickson, Negeri Sembilan",71050 Port Dickson,Negeri Sembilan,06-6626333,06-6625003
Hospital Pulau Pinang,Jalan Residensi,"Pulau Pinang, Pulau Pinang",10990 Pulau Pinang,Pulau Pinang,04-2225333,04-2281737
Hospital Putrajaya,"Pusat Pentadbiran Kerajaan Persekutuan, presint 7","Putrajaya, WP Putrajaya",62250 Putrajaya,WP Putrajaya,03-83124200,03-88880137
Hospital Queen Elizabeth,Karung Berkunci N0.2029,"Kota Kinabalu, Sabah",88586 Kota Kinabalu,Sabah,088-517555,088-318605
Hospital Queen Elizabeth II,"Lorong Bersatu, Jalan Damai Luyang, Kota Kinabalu","Kota Kinabalu, Sabah",88300 Kota Kinabalu,Sabah,088-245249,088-272454/270926
Hospital Raja Perempuan Zainab II,Jalan Hospital,"Kota Bharu, Kelantan",15000 Kota Bharu,Kelantan,09-7452000,09-7486951
Hospital Raja Permaisuri Bainun,Jalan Hospital,"Ipoh, Perak",30400 Ipoh,Perak,05-2533333,05-2531541
Hospital Rajah Charles Brooke Memorial,"Bt 13, Jalan Puncak Borneo, Kota Padawan","Kuching, Sarawak",93250 Kuching,Sarawak,082-611123,082-616582
Hospital Ranau,Peti Surat 65,"Ranau, Sabah",89300 Ranau,Sabah,088-875266,088-875223
Hospital Raub,Jalan Tengku Abd Samad,"Raub, Pahang",27600 Raub,Pahang,09-3553333,09-3554331
Hospital Saratok,"KM 1, Jalan Saratok","Saratok, Sarawak",95400 Saratok,Sarawak,083-436311,083-436917
Hospital Sarikei,Jalan Rentap,"Sarikei, Sarawak",96100 Sarikei,Sarawak,084-653333,084-653409
Hospital Seberang Jaya,"Jln Tun Hussein Onn, Perai","Perai, Pulau Pinang",13700 Perai,Pulau Pinang,04-3827333,04-3970754
Hospital Segamat,"KM 6 Jalan Genuang,","Segamat, Johor",85000 Segamat,Johor,07-9433333,07-9434641
Hospital Selama,Jalan Taiping,"Selama, Perak",34100 Selama,Perak,05-8394233,05-8394204
Hospital Selayang,Lebuhraya Selayang-Kepong,"Batu Caves, Selangor",68100 Batu Caves,Selangor,03-61203233,03-61377097
Hospital Semporna,Peti Surat 80,"Semporna, Sabah",91307 Semporna,Sabah,089-781522,089-781659
Hospital Sentosa,"Batu 7, Jalan Penenrisen","Kuching, Sarawak",93250 Kuching,Sarawak,082-612321,082-610495
Hospital Serdang,Jalan Puchong,"Kajang, Selangor",43000 Kajang,Selangor,03-89475555,03-89475050
Hospital Seri Manjung,Seri Manjung,"",32040 Seri Manjung,Perak,05-6881333,05-6884013
Hospital Serian,94700 Serian,"Serian, Sarawak",94700 Serian,Sarawak,082-874311,082-875182
Hospital Setiu,Bandar Permaisuri,"Setiu, Terengganu",22100 Setiu,Terengganu,09-6090333,09-6090377
Hospital Sibu,"Batu 5 ½,  Jalan Ulu Oya","Sibu, Sarawak",96000 Sibu,Sarawak,084-343333,084-337354
Hospital Sik,08200 Sik,"Sik, Kedah",08200 Sik,Kedah,04-4695333,04-4695990
Hospital Simunjan,Jalan Gunung Ngeli,"Simunjan, Sarawak",94800 Simunjan,Sarawak,082-803984,082-803988
Hospital Sipitang,Peti Surat 250,"Sipitang, Sabah",89857 Sipitang,Sabah,087-822296,087-822304
Hospital Slim River,Slim River,"",35800 Slim River,Perak,05-4526467,05-4526697
Hospital Sri Aman,Jalan Hospital,"Sri Aman, Sarawak",95007 Sri Aman,Sarawak,083-322151,083-323063
Hospital Sultan Abdul Halim,"Jalan Lencongan Timur Bandar Amanjaya, Sungai Petani","Sungai Petani, Kedah",08000 Sungai Petani,Kedah,04-4457333,04-4480092
Hospital Sultan Hj Ahmad Shah,Jalan Maran,"Temerloh, Pahang",28000 Temerloh,Pahang,09-2955333,09-2972468
Hospital Sultan Ismail,"Jalan Persiaran Mutiara Emas Utama, Taman Miount Austin","Johor Bahru, Johor",81100 Johor Bahru,Johor,07-7565000,07-7565088
Hospital Sultanah Aminah,Johor Bahru,"Johor Bahru, Johor",80100 Johor Bahru,Johor,07-2231666,07-2242694
Hospital Sultanah Bahiyah,"KM 6, Jln Langgar, Alor Setar","Alor Setar, Kedah",05460 Alor Setar,Kedah,04-7406233,04-7350233
Hospital Sultanah Hajjah Kalsom,"Tanah Rata,","Cameron Highlands, Pahang",39000 Cameron Highlands,Pahang,05-4913333,05-4915453
Hospital Sultanah Nora Ismail,"Jalan Korma,83000 Batu Pahat","Batu Pahat, Johor",83000 Batu Pahat,Johor,07-4363000,07-4322544
Hospital Sultanah Nur Zahirah,"Jalan Sultan Mahmud, Kuala Terengganu","Kuala Terengganu, Terengganu",20400 Kuala Terengganu,Terengganu,09-6212121,09-6221820/6221739
Hospital Sungai Bakap,"Sungai Jawi, Seberang Perai Selatan","Sungai Jawi, Pulau Pinang",14200 Sungai Jawi,Pulau Pinang, 04-5824333,04-5822494
Hospital Sungai Buloh,Jalan Hospital,"Sungai Buluh, Selangor",47000 Sungai Buluh,Selangor,03-61454333,03-61454222
Hospital Sungai Siput,Jalan Felda Lasah,"Sungai Siput, Perak",31100 Sungai Siput,Perak,05-5983333,05-5971834
Hospital Taiping,Jalan Taming Sari,"Taiping, Perak",34000 Taiping,Perak,05-8083333,05-8073894
Hospital Tambunan,Peti Surat 10,"Tambunan, Sabah",89657 Tambunan,Sabah,087-774333,087-774102
Hospital Tampin,"Jalan Haji Ahmad Zainuddin, Tampin","Tampin, Negeri Sembilan",73009 Tampin,Negeri Sembilan,06-4411511,06-4419610
Hospital Tanah Merah,17500 Tanah Merah,"Tanah Merah, Kelantan",17500 Tanah Merah,Kelantan,09-9545000,09-9557929
Hospital Tangkak,"Jalan Hospital,  Tangkak Muar","Tangkak, Johor",84900 Tangkak,Johor,06-9782792,06-9786521
Hospital Tanjung Karang,Tanjung Karang,"Tanjung Karang, Selangor",45500 Tanjung Karang,Selangor,03-32698333,03-32695907
Hospital Tapah,Jalan Temoh,"Tapah, Perak",35000 Tapah,Perak,05-4011333,05-4012333
Hospital Tawau,Peti Surat 80,"Tawau, Sabah",91007 Tawau,Sabah,089-773533,089-778626
Hospital Teluk Intan,Jalan Changkat Jong,"Teluk Intan, Perak",36000 Teluk Intan,Perak,05-6213333,05-6212415
Hospital Temenggong Seri Maharaja Tun Ibrahim,"Hospital Temenggong Seri Maharaja Tun Ibrahim, 81000 Kulai","Kulaijaya, Johor",81000 Kulaijaya,Johor,07-6623333,07-6622605
Hospital Tengku Ampuan Afzan,Jalan Air Putih,"Kuantan, Pahang",25100 Kuantan,Pahang,09-5133333,09-5142712
Hospital Tengku Ampuan Jemaah,45200 Sabak Bernam,"Sabak Bernam, Selangor",45200 Sabak Bernam,Selangor,03-32163333,03-32164333
Hospital Tengku Ampuan Rahimah,"Jalan Langat,41200 Klang","Klang, Selangor",41200 Klang,Selangor,03- 33723333,03-233729089
Hospital Tengku Anis,Jalan Pasir Puteh,"Pasir Puteh, Kelantan",16800 Pasir Puteh,Kelantan,09-7843333,09-7843444
Hospital Tengku Fauziah,"Jalan Kolam, 01000 Kangar","Kangar, Perlis",01000 Kangar,Perlis,04-9738000,04-9767237
Hospital Tenom,Peti surat 97,"Tenom, Sabah",89907 Tenom,Sabah,087-735577,087-735550
Hospital Tuanku Ampuan Najihah,KM 3 Jalan Melang,"Kuala Pilah, Negeri Sembilan",72000 Kuala Pilah,Negeri Sembilan,06-4818001,06-4818010
Hospital Tuanku Ja'afar Seremban,Jalan Rasah,"Seremban, Negeri Sembilan",70300 Seremban,Negeri Sembilan,06-7623333,06-7625771
Hospital Tuaran,"Peti surat 996, 89207 Tuaran Sabah","Tuaran, Sabah",89207 Tuaran,Sabah,088-788317,088-788167
Hospital Tumpat,Jalan Kelaburan,"Tumpat, Kelantan",62000 Tumpat,Kelantan,09-7263000,09-7257082
Hospital Umum Kuching,Jalan Tun Ahmad Zaidi Adruce,"Kuching, Sarawak",93586 Kuching,Sarawak,082-276666,082-242751
Hospital Wanita dan Kanak-Kanak Sabah,Karung Berkunci 187,"Kota Kinabalu, Sabah",88996 Kota Kinabalu,Sabah,088-522600,088-438512
Hospital Yan,Batu 25 Jalan Yan,"Yan, Kedah",06900 Yan,Kedah,04-4655333,04-4655960
Institut Perubatan Respiratori,Jalan Pahang,"Kuala Lumpur, WP Kuala Lumpur",53000 Kuala Lumpur,WP Kuala Lumpur,03-40232966,03-40218807
Pusat Kawalan Kusta Negara,Sungai Buluh,"Sungai Buluh, Selangor",47000 Sungai Buluh,Selangor,03-61561321,03-61562470
